Name,Song_ID,Acoustic,Energy,Liveness,Loudness,BPM,Danceability,Mood
still feel.,48XkVAagIoQHCsOlJtXUd5,0.148,0.516,0.0492,-6.467,120.026,0.779,Groovy
No One Else Like You,6CdV33i2ztlvFheXGz4Huc,0.0265,0.815,0.29,-3.904,115.95,0.625,Groovy
Space Bound,2S9Hmv3pv86ScVA8XnFmOW,0.0451,0.885,0.46,-3.464,142.02,0.671,HypeEnergy
Neele Neele Ambar Par - Male Version,02zPo0Dt0R4TTFY5zLJZnK,0.628,0.696,0.172,-7.612,93.801,0.562,Acoustic
Cinder and Smoke,6a20J6YFMYUjUZ7WnuJYZu,0.864,0.3,0.104,-14.641,112.178,0.731,Acoustic
Zindagi Kya Hai,2z1Xg80suoK9wf95H5lit3,0.319,0.412,0.126,-9.637,86.007,0.595,Acoustic
Prada,6wWxQMhQgOCbmQkdOGslT4,0.0361,0.65,0.358,-5.426,156.008,0.721,DanceEnergy
Carry You,0u4rkpmNtgcFxYHepnVF4v,0.558,0.397,0.126,-7.993,92.291,0.334,Acoustic
Aas Paas Khuda (Unplugged),0hVXFWS00liq3W2YAQUma4,0.881,0.305,0.133,-7.578,79,0.453,Mellow
"Yunhi Rastay Mai - From ""7 Din Mohabbat In""",76X0ptAJY5nsZALOM84JzY,0.697,0.138,0.0925,-13.772,156.141,0.472,Mellow
"Chan Kitthan (From ""Chan Kitthan"")",4OffmzjuxT6e9y8E6VDG2i,0.355,0.538,0.108,-7.665,95.993,0.693,Groovy
Ocean,4BL4aEbddW0OGv6fFYYFUt,0.963,0.237,0.0952,-11.665,125.335,0.72,Groovy
Sahiba,2LndjaqEYqOFZlucJOj4E1,0.14,0.755,0.0618,-3.843,156.025,0.747,DanceEnergy
Blue Theme,3iz38ks5UWQepz9oJok4T2,0.0774,0.842,0.0905,-6.516,95.039,0.716,DanceEnergy
Be My Mistake,18UsAG7SfOQ5sxJEdjAMH0,0.835,0.155,0.0906,-14.405,109.923,0.572,Groovy
I Lost a Friend,49MMefftWPcltNP4OOJGSs,0.587,0.209,0.119,-11.917,169.316,0.453,Groovy
Kali Range,4X7o22XGFJtQANlUXmuOFP,0.016,0.533,0.126,-7.122,176.018,0.612,DanceEnergy
Someone You Loved,5aQDkvNNDDfwD2XHtW9xjq,0.856,0.355,0.124,-6.125,109.917,0.631,Mellow
Royalty,4kad7RSRCt8ttCkIjEmErs,0.124,0.634,0.0411,-3.89,86.54,0.683,Groovy
Real Estate,2VvTMIXG760UiG9OSiFt9j,0.953,0.284,0.151,-12.815,79.959,0.493,Groovy
3 Nights,0uI7yAKUf52Cn7y3sYyjiX,0.223,0.518,0.104,-6.594,151.891,0.815,Groovy
Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,0.241,0.925,0.52,-5.034,86.989,0.749,HypeEnergy
Pyaar Ka Pehla Khat,75hsymuPkvUvQKsz54LigZ,0.582,0.391,0.126,-12.067,93.009,0.692,Mellow
Ari Ari (Part 1),6dWQ9E5mFjQZA7ujh3wd2Z,0.00085,0.918,0.0619,-2.487,98.071,0.758,DanceEnergy
The Scientist,2CX2fjnKQYwiLf7kPwNZne,0.71,0.438,0.107,-7.474,146.449,0.569,Acoustic
Pretty Polly,1JHXH2EWYksXdE9CRGTzQ3,0.7,0.459,0.0737,-9.977,88.358,0.654,Groovy
Falling for the Wrong One,5C4XCvAKImh0IGPCKbPPo6,0.0273,0.673,0.317,-8.266,118.968,0.665,Acoustic
Laps Around The Sun,68ZVCePM9IP0MSbcmeZuup,0.475,0.472,0.11,-10.047,110.024,0.768,Acoustic
Letter From Last Summer,3wSBwiesNLtpHwXVi3l2oH,0.877,0.1,0.121,-18.499,145.016,0.445,Acoustic
Malibu Nights,0Eqg0CQ7bK3RQIMPw1A7pl,0.701,0.422,0.0853,-11.89,74.002,0.559,Acoustic
Next to You,3MwHZDGwAR8RjZZBriBqmx,0.633,0.419,0.404,-7.975,132.204,0.443,Acoustic
Woh Kaghaz Ki Kashti,6qtSFL6qFbw7EmaRIsS0IR,0.909,0.48,0.0944,-12.556,108.178,0.705,Mellow
Human,58zsLZPvfflaiIbNWoA22O,0.393,0.707,0.165,-4.097,75.09,0.602,Groovy
Jeen Di Gal,0uvIRm0BbBs0F4iCSq2FuK,0.632,0.312,0.153,-19.574,151.942,0.656,Mellow
Hold Me While You Wait,6700Z4Izi8EbB6JNthU6Ma,0.443,0.53,0.0995,-5.507,106.958,0.688,Acoustic
Mizaaj,0PivOoKM1sECNTsZ7K6N3h,0.00643,0.701,0.403,-5.905,138.05,0.536,Groovy
Such A Simple Thing,4PuUa8e5s7P3Zv1IdCGIsa,0.86,0.256,0.142,-11.216,76.35,0.522,Acoustic
Naah,0zRsGGueSQLRkYWs4kPA4V,0.62,0.863,0.0972,-2.539,99.981,0.715,DanceEnergy
Beparwah,6DLdRRieCPBwUND4P9xmVn,0.0693,0.701,0.0938,-6.221,120.129,0.626,Mellow
Someone New,22sS7JkzeVeq4vOPCB6Fbj,0.407,0.539,0.286,-5.946,91.98,0.593,Groovy
Qismat,3EqgnmFJIarfSqSdBWMI8r,0.498,0.744,0.381,-5.105,87.726,0.43,Groovy
"That Sea, the Gambler",5Myb8jMUiTyCpOXmN9laX3,0.38,0.367,0.0975,-9.7,117.527,0.379,Acoustic
Bruises,4Of7rzpRpV1mWRbhp5rAqG,0.946,0.308,0.186,-7.83,111.202,0.736,Groovy
O Re Piya,7cWnks0lsRtpAi87COOiXK,0.779,0.532,0.124,-8.837,99.994,0.586,Mellow
Ikk Kudi,1NgRBQQD8ZHy6lv79KyeZO,0.723,0.374,0.135,-6.731,120.035,0.641,Mellow
Rose Petals,0NJ1LV5VblYyJsJt3EbAx7,0.888,0.282,0.0812,-11.956,127.964,0.562,Acoustic
Bandey,2sNMcxZh7AwImXtrv8UV3S,0.0112,0.621,0.109,-7.506,92.025,0.658,Groovy
When We Were On Fire - The Dark Of The Morning Version,3wn7gh5nm7v5CHNp7Gdp8j,0.365,0.414,0.092,-8.485,115.965,0.801,Groovy
Angreji Beat,4psVrPZy07uZTLwc3Mqz4V,0.204,0.998,0.0653,-1.558,119.961,0.851,DanceEnergy
Do You Rise,0KalsY81HsAAVUxZy9qUFz,0.841,0.223,0.0947,-19.5,99.75,0.36,Groovy
To Build A Home,54KFQB6N4pn926IUUYZGzK,0.885,0.122,0.094,-15.399,148.658,0.264,Groovy
Tere Aane Ki Jab Khabar Mehke,4QpOqCNx9L7Vy2ThfXOYDf,0.597,0.242,0.105,-18.064,90.635,0.681,Mellow
Kali Kali Zulfon Ke Phande Nah Dalo,41p2AWpXt0QF4GFlsxVowq,0.662,0.674,0.267,-12.845,138.699,0.435,Mellow
